id,name,jurisdiction_id
511,"Friedrich-Loeffler-Institut, Bundesforschungsinstitut für Tiergesundheit",1
3533,Kommunalverwaltung Witten,2
15977,Landesärztekammer Hessen,94
4836,Stadtverwaltung Kaiserslautern,6
3537,Kommunalverwaltung Gevelsberg,2
49066,Arbeitsgericht Heilbronn,91
3465,Kommunalverwaltung Aachen,2
4052,Bundesärztekammer,1
15411,Landkreis Esslingen - Veterinär- und Lebensmittelüberwachung,91
284,Bundesanstalt für den Digitalfunk der Behörden und Organisationen mit Sicherheitsaufgaben,1
16131,"Stadt Köln - Amt für Feuerschutz, Rettungsdienst und Bevölkerungsschutz",2
16135,Staatliche Arbeitsschutzbehörde bei der Unfallkasse Nord,11
3010,"Ministerium für Wirtschaft, Industrie, Klimaschutz und Energie des Landes Nordrhein-Westfalen",2
10893,Sächsisches Oberbergamt Freiberg,89
3664,Justizvollzugsanstalt Luckau-Duben,3
2955,Landgericht Bielefeld,2
8974,Ministerium für Finanzen Baden-Württemberg,91
15362,Hansestadt Rostock - Veterinär- und Lebensmittelüberwachungsamt,7
5739,Stadt Völklingen,9
7875,Amtsgericht Mannheim,91
3984,Behörde für Inneres und Sport Hamburg,5
6977,Stadt Weimar,10
15648,"Bayerisches Staatsministerium für Wohnen, Bau und Verkehr",92
4653,Ministerium für Wissenschaft und Gesundheit des Landes Rheinland-Pfalz,6
3989,"Behörde für Wissenschaft, Forschung, Gleichstellung und Bezirke",5
3917,Sekretariat der Ständigen Konferenz der Kultusminister der Länder in der Bundesrepublik Deutschland (KMK),4
12859,Stadt Rudolstadt,10
93,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",1
3355,Kommunalverwaltung Duisburg,2
11201,Bayerisches Landeskriminalamt,92
4844,Stadtverwaltung Neustadt an der Weinstraße,6
65,Bundesinstitut für Arzneimittel und Medizinprodukte,1
95,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,1
3810,Berliner Verkehrsbetriebe (BVG),4
15451,Veterinär- und Lebensmittelaufsichtsamt Pankow,4
15450,Veterinär- und Lebensmittelaufsichtsamt Berlin Neukölln,4
3919,"Senatsverwaltung für Bildung, Jugend und Familie",4
16346,Schulamt Friedrichshain - Kreuzberg,4
8980,"Ministerium für Wissenschaft, Forschung und Kunst Baden-Württemberg",91
4588,Kreisverwaltung Eifelkreis Bitburg-Prüm,6
17112,Jugendstrafanstalt Berlin (JSA Berlin),4
15326,Landkreis Goslar - Verbraucherschutz & Veterinärwesen,93
842,Statistisches Bundesamt,1
13631,Agentur für Arbeit Hamburg,1
4594,Kreisverwaltung Neuwied,6
4046,Stadtverwaltung Potsdam,3
18196,Kreis Herford,2
50221,Ordnungsamt - Verkehrsüberwachung Stadt Dortmund,2
14374,Agentur für Arbeit Stuttgart,1
15853,Amtsgericht Rostock,7
41109,Berufskolleg f. Wirtschaft u. Verwaltung (Aachen),2
7495,Ministerium für Justiz und Gleichstellung des Landes Sachsen-Anhalt,13
5063,Justizministerium Mecklenburg-Vorpommern,7
3021,Polizeipräsidium Aachen,2
6810,Stadtverwaltung München,92
15177,Regierungspräsidium Darmstadt,94
3736,Ministerium des Innern und für Kommunales,3
15176,Regierungspräsidium Gießen,94
48859,Ordnungsamt und Bürgerservice/Bußgeldstelle Magdeburg,13
16681,Staatliches Gewerbeaufsichtsamt Emden,93
7920,Amtsgericht Ulm,91
10290,"Niedersächsisches Ministerium für Wirtschaft, Verkehr, Bauen und Digitalisierung",93
16130,Kreisverwaltung Soest,2
9945,Landkreis Marburg-Biedenkopf,94
3782,Alice Salomon Hochschule Berlin,4
18907,Bröndby-Schule (Berlin),4
7791,DB Netz AG,1
6579,BKK ProVita,1
9288,Stadt Mannheim,91
8830,"Ministerium für Inneres, Digitalisierung und Kommunen Baden-Württemberg",91
4850,Stadtverwaltung Sinzig,6
3922,"Senatsverwaltung für Inneres, Digitalisierung und Sport",4
7497,"Ministerium für Wissenschaft, Energie, Klimaschutz und Umwelt Sachsen-Anhalt-Anhalt",13
9904,Gemeinde Wetzlar,94
